,cent_latitude,cent_longitude,clust_size,min_distance
0,40.717515595,-73.9893091328,14133,16.144526381
1,41.8781902128,-87.6298429998,3814,17.5985309358
2,33.4472769695,-111.902611932,2341,6.29347456538
3,38.8869858429,-77.0485665903,2744,13.4249800897
4,33.4484736503,-112.074079455,2735,6.1221534974
5,37.686006854,-122.408890507,1700,5.76990202049
6,37.7864841235,-122.423815529,2224,5.84968044114
7,33.7685600832,-84.3926919823,1854,8.8868628726
8,42.3630181534,-71.074572009,1650,18.9115942575
9,47.6064321793,-122.332078722,1472,14.4614169709
10,34.0647506387,-118.267487204,940,0.323213310745
11,33.3576387985,-111.822635055,1274,6.37826333769
12,44.9777087444,-93.2680521352,1171,23.0810862171
13,36.117361153,-115.171257613,1174,3.83452137463
14,30.2673217231,-97.7428671005,1087,17.965779817
15,39.9518871287,-75.1634943326,1064,14.9998442996
16,40.7688693225,-73.8381236332,750,16.2515190452
17,32.9811214555,-117.078438369,993,1.35126210432
18,34.0350337354,-118.433901879,671,0.374996309159
19,39.7349464379,-104.989195229,821,14.4924905414
20,28.5424416496,-81.3768333981,781,2.87441545921
21,32.8034307155,-96.7695989648,785,17.8481867744
22,34.1261459763,-118.353230276,531,0.409370004152
23,25.7874678472,-80.215136596,703,0.135349498889
24,43.0406802445,-87.9063670026,683,18.7723345456
25,-6.21190821016,106.84406738,641,46.704053106
26,29.7621558605,-95.3832629621,626,15.5545624586
27,37.395486331,-122.093633411,645,5.3412034412
28,45.5230548168,-122.676017306,581,12.5980320126
29,37.344713625,-121.908428589,628,5.17193097202
30,32.7110442225,-117.153251778,542,1.46776022917
31,33.6775484459,-117.853851075,597,0.34290886773
32,33.8095446897,-117.891370181,522,0.303024641087
33,43.6533794785,-79.3830975441,510,17.8105201968
34,32.2217429,-110.926479,472,7.42158402197
35,27.9493668986,-82.465016083,435,2.98607440688
36,40.7563629337,-74.1932126488,295,16.1015275012
37,33.9219580243,-118.413539376,395,0.28225302759
38,39.99629727,-82.9994636028,393,14.3796289366
39,39.768327279,-86.15806221,390,15.0751904229
40,34.1603459951,-118.234368666,76,0.41160590121
41,39.0983706548,-94.5869666937,361,19.4545265499
42,47.6428056237,-122.169565455,400,14.4506587674
43,40.439750535,-79.9967019414,351,14.5756923532
44,39.2872209031,-76.6139701028,341,13.9229220224
45,37.8044578797,-122.268352524,378,5.75078373676
46,35.2273068307,-80.8431951377,329,9.37395377021
47,40.8447466049,-74.1327318361,297,16.206297681
48,33.8112939268,-118.145453402,277,0.0739983855999
49,34.1891089085,-118.456560696,293,0.513249164819
50,40.8614436274,-73.8789245858,332,16.3202867861
51,29.4243695183,-98.4935743093,292,18.5142879214
52,34.1264930104,-118.122380516,244,0.381038889814
53,33.5590378206,-112.211604426,280,5.98022621459
54,51.5027243943,-0.12809028172,285,0.052612089848
55,35.7709958431,-78.6369312066,270,10.0459518238
56,37.542420008,-122.298999579,274,5.59169018417
57,40.7069765872,-73.6032636628,396,16.2902706345
58,38.6449735095,-90.2266823337,276,16.1653524047
59,26.1215124549,-80.1588952664,216,0.302820705768
60,38.8772096301,-77.2441833414,265,13.3690833386
61,44.9591676797,-93.1194302494,256,22.9826636907
62,41.4914493907,-81.7061641961,227,15.684721143
63,42.4057073785,-83.0904003895,144,16.7677317083
64,39.0114494098,-77.0870646192,184,13.5364583197
65,29.9650413565,-90.0814873595,203,10.5827315487
66,37.5432944963,-77.4691800936,226,12.0195393103
67,38.9841408413,-77.4026548078,186,13.43782019
68,38.5815087152,-121.496437575,211,5.85422938329
69,39.1293344595,-84.50202734,211,13.904133805
70,34.0706189927,-118.02820075,89,0.357424340202
71,44.9205175419,-93.414157153,124,23.1161774927
72,40.690675904,-74.2786490975,160,16.0083483679
73,41.5976848151,-93.6526348833,212,20.6174854274
74,40.0149856,-105.2705456,191,14.3566636787
75,36.0871165337,-86.6489070019,187,12.0182660859
76,40.9851574172,-73.7568693167,208,16.4822680268
77,42.4877590531,-83.1617286101,161,16.8605222816
78,36.1644467864,-86.7809201441,178,12.1537061333
79,40.759315808,-111.895353247,168,9.41909362702
80,49.2407340229,-123.110774271,175,16.2526828624
81,39.0082397822,-94.6723240172,150,19.4562049988
82,40.604218178,-74.1326363542,139,15.9843150365
83,33.9015531258,-118.063269486,151,0.195769670497
84,43.0730428155,-89.4011768354,161,19.4529076497
85,30.3324660025,-81.6551801255,161,4.65892108768
86,40.4997420755,-74.4284967113,148,15.7751047093
87,41.2530813873,-95.9996397127,155,21.9643096034
88,33.5779276506,-117.705753512,179,0.513152944998
89,41.0815363244,-73.4939125647,121,16.6766723082
90,37.6921690819,-122.097259359,155,5.55041926154
91,42.8909810221,-78.8760666786,145,17.0847217688
92,43.164348573,-77.6157059905,148,17.5073781955
93,42.0542491535,-87.8241108799,186,17.8396505365
94,33.4778706347,-112.353503951,95,5.84163767993
95,42.9570396007,-85.6682386993,142,17.9054166381
96,32.8572378293,-96.99285997,77,18.0748488613
97,33.0123149921,-96.7000254784,123,17.8666006901
98,34.0082839217,-117.918333039,113,0.373058282723
99,45.5048896732,-73.5563918594,138,20.7706498316
100,33.9789700051,-84.5743371307,169,9.15731929907
101,43.0530332838,-76.1413125779,115,17.6870089953
102,41.7980444051,-88.1099130824,110,17.7311410262
103,44.8553581015,-93.3085982871,118,23.0027514297
104,1.34979710458,103.82013587,131,40.248374307
105,35.1494357519,-90.0485354534,131,13.4430013015
106,32.9312835062,-97.0701194202,96,18.1747719083
107,26.0369896,-80.2129081891,104,0.202519032011
108,47.4508391189,-122.258791852,127,14.2913723738
109,37.9119546685,-122.066413031,122,5.687493894
110,28.6452928894,-81.3431439244,141,2.95858753203
111,33.5787886723,-112.350758048,108,5.8405295564
112,42.0826821877,-87.9465653221,53,17.9172044008
113,32.7268959213,-97.3200688484,123,18.3278609786
114,39.0915252117,-77.1703164942,114,13.5946700011
115,34.0641812051,-84.3168025814,118,9.11719584833
116,45.0456886086,-93.415645956,97,23.2202933411
117,39.9801991061,-86.058268393,115,15.2329287593
118,34.0559825052,-117.699034437,124,0.576764235898
119,26.329980186,-80.0927368289,116,0.51691973096
120,38.5283107904,-90.3781801342,110,16.1670764097
121,38.2538839795,-85.758133225,113,13.5257238243
122,35.7954123125,-78.8004674509,102,10.0439166597
123,41.8713608345,-87.8760775618,78,17.6959919551
124,39.1916183972,-76.8498100213,62,13.7694097248
125,40.0776776,-75.3293550852,85,15.0622069057
126,21.3052974296,-157.856515484,108,41.5744491164
127,-23.5499428336,-46.6385495486,106,59.8065579051
128,37.5554467327,-121.999080532,104,5.38427361144
129,40.5763027779,-74.2870009385,73,15.899330015
130,42.1608857981,-87.8366615356,66,17.9417131503
131,-0.3012262,36.5229641,103,61.4503907352
132,35.2013516,-111.639249,103,6.70809575846
133,34.0699352738,-117.806620162,73,0.49755267655
134,42.2712313233,-83.7269565311,103,16.7527305984
135,34.0489281,-111.0937311,103,7.10124971173
136,42.6163588353,-83.1868374255,69,16.9915137889
137,-6.91541462941,107.608211176,103,47.2324080846
138,41.8512870069,-87.9749572861,104,17.720306859
139,32.7838859119,-79.9201822347,102,6.92793562978
140,39.616705675,-104.992945391,116,14.4406457233
141,40.816980613,-74.36585376,120,16.0928805197
142,28.380697337,-81.537397731,100,2.79052454568
143,40.2530863192,-74.0466909879,53,15.6953613717
144,27.7769579,-82.6456374245,96,3.00575946939
145,33.7955638396,-84.2837163677,102,8.86165274235
146,40.8072860758,-96.6814909263,95,22.1529652856
147,42.3182348436,-83.4061153947,96,16.736715104
148,41.1330405,-73.3501930862,71,16.782881823
149,37.9267955793,-122.520166138,92,6.01632843151
150,43.0180414418,-88.0365315934,100,18.804635892
151,39.8845304407,-75.0492283132,92,14.9764804444
152,42.0364182681,-88.0711238385,69,17.9288152631
153,30.4418596538,-84.2862098846,91,6.05151180708
154,48.857981911,2.34730393407,91,3.58693218191
155,40.149264782,-74.0429663798,78,15.6017596733
156,40.8380760101,-73.3795100506,105,16.5026855939
157,35.9940329,-78.898619,88,10.2261395748
158,38.9727994609,-76.9252994598,77,13.5386351671
159,35.9127732093,-79.0585577558,86,10.1244461679
160,38.9517053,-92.3340724,86,17.7603295401
161,40.9304939129,-74.2445130776,97,16.2434062819
162,33.92003586,-84.2814272529,47,8.97217060627
163,19.42045432,-99.1397025718,92,19.8895384336
164,41.7773405176,-72.6796896494,64,17.6508574901
165,-7.26703446988,112.742099181,82,46.7658072542
166,33.896400994,-118.220429075,66,0.148543498958
167,40.337157,-74.6600970205,77,15.538508779
168,42.198384841,-87.9374916867,52,18.0181458789
169,39.071982778,-76.6417819195,64,13.7080894823
170,39.9652375707,-75.326326922,70,14.9571871087
171,44.778782158,-93.1930386568,65,22.8743707484
172,41.0690469617,-74.0002859531,125,16.4642242884
173,33.1786137593,-117.366286962,81,1.00218370944
174,42.7326309136,-84.5170490469,82,17.3783016426
175,37.7058997506,-121.925134232,66,5.44055906632
176,40.0627032557,-74.3987414152,79,15.382040156
177,36.0338913684,-115.0015801,79,3.92024445447
178,41.3065338278,-72.9416445709,64,17.1130757835
179,40.3349716896,-74.2757778325,47,15.6806665384
180,27.9949324584,-82.7825876714,67,3.25100718732
181,13.7232491868,100.489080136,73,30.5185359129
182,34.4212471342,-119.696450237,76,1.64986367286
183,41.7997560253,-71.410386788,79,18.2560628437
184,40.6298128987,-74.4204315907,55,15.8988176909
185,40.5651265162,-74.6032856851,75,15.7715309174
186,39.8525442589,-105.053477088,56,14.4831140968
187,39.5296235685,-119.810357315,73,6.00157744115
188,32.8807779764,-97.1856726181,66,18.261841346
189,32.7856261943,-116.989420401,70,1.53975614241
190,35.9606384,-83.9207392,70,10.7145871268
191,26.19784062,-80.2434946586,71,0.339807093568
192,35.4678370159,-97.5171562319,69,19.6916878893
193,-6.31146469853,106.789545696,69,46.8131187721
194,40.7372148559,-73.2982188515,70,16.4458089551
195,36.072601703,-79.7928725104,66,10.2186840474
196,33.999541094,-81.0389065925,67,8.16315990769
197,40.1140200015,-88.2343442313,67,16.2950396908
198,42.6855929597,-73.7523009985,68,18.0562749517
199,42.4906185606,-83.424627003,50,16.9095651364
200,31.7587198,-106.4869314,65,11.8702404654
201,34.3930028,-118.544338795,84,0.73366375518
202,36.8529263,-75.977985,65,11.8136895421
203,41.1672608031,-73.2195416578,47,16.8686228183
204,41.4559186484,-81.8597077953,59,15.6636356074
205,32.7950584516,-117.229229209,62,1.35462720691
206,42.2818026547,-85.5864382125,65,17.2369840521
207,33.9702269937,-84.1868858222,62,8.97615457764
208,42.2502236226,-71.0080651387,44,18.8460792833
209,40.231459079,-74.7777164597,48,15.3973727808
210,33.6085567596,-86.6368193085,63,9.988519865
211,41.1262063721,-73.8664816557,56,16.5687042167
212,32.735687,-97.1080656,76,18.1347653724
213,33.8780393459,-117.565564102,66,0.635937805635
214,33.0594707033,-97.0543582262,49,18.2104929365
215,34.8526176,-82.3940104,61,9.22022560424
216,40.5859341492,-105.085297341,61,14.7787938569
217,3.12939821148,101.666633446,63,39.3617646964
218,38.8347426367,-104.824557917,60,14.2983560466
219,40.3708445367,-74.12812834,31,15.7711895654
220,34.1615239133,-118.82933494,72,0.76069994548
221,30.4508739407,-91.1543097898,59,11.7600276747
222,27.9237127983,-82.2857862373,59,2.84168800452
223,41.6316857525,-87.7821511475,41,17.4391628257
224,45.0831652864,-93.2914793017,54,23.1815709921
225,41.7202214339,-87.7284101,51,17.4964243647
226,-6.18255289661,106.656394929,59,46.7167450472
227,26.6992399305,-80.0535855949,57,0.874405790538
228,39.7541537569,-84.1914775207,56,14.4148910246
229,32.0560622569,-81.1014764862,58,6.23696009185
230,42.5360188155,-82.9746197879,38,16.8777019273
231,33.1502543086,-117.158352619,58,1.19286479978
232,28.2955044207,-81.4083325034,58,2.65886910751
233,37.6922361,-97.3375448,58,20.7189662423
234,33.1444677517,-96.8429706552,59,18.0505784978
235,40.4327864439,-74.2230239386,44,15.7912640018
236,44.0512504474,-123.077669432,57,11.401363252
237,42.5237065579,-70.9160874456,64,19.129358497
238,43.0267053684,-88.2362452158,57,18.8952909084
239,-33.8604826614,151.209228275,58,0.00896399282798
240,40.8175305877,-73.0757360825,45,16.6143121929
241,33.0581063,-112.0476423,56,6.1800943828
242,36.9809195482,-122.023745177,59,5.01376661754
243,47.7814377786,-122.278652321,69,14.6141299525
244,40.1351304,-75.1825290429,50,15.1655682189
245,39.0719886893,-77.5147747304,57,13.4998032375
246,38.7286735357,-121.260258046,72,5.84882034117
247,41.9376379464,-88.1279135304,24,17.8645180305
248,29.9860318321,-90.1906853607,56,10.6915645025
249,42.3281890291,-87.8825422364,59,18.1128772174
250,33.9533487,-117.3961564,55,0.8179374884
251,45.4116528909,-75.6983998545,55,20.0838725672
252,51.045,-114.0572222,55,17.7803907306
253,39.3419543945,-76.7718928764,56,13.9345918657
254,39.2000179327,-76.6738271727,45,13.82296459
255,33.0134700109,-117.282434153,55,1.16865283209
256,35.0844909,-106.6511367,55,11.6143768327
257,41.0916813815,-81.5045960648,50,15.2696445984
258,44.4773166111,-73.1991654278,56,19.9269016954
259,42.3280690741,-71.3653353833,33,18.7403926065
260,33.6499415849,-84.4431023075,48,8.80504241713
261,30.4900589302,-97.6633397019,53,17.9447638005
262,37.09024,-95.712891,52,19.0462330142
263,35.67472705,139.708438985,52,22.9708937725
264,39.7294319,-104.8319195,52,14.6336253156
265,39.4198314404,-76.6035424481,42,14.0535389984
266,41.3687057558,-81.7728889135,42,15.5685261449
267,43.5867164,-116.1956556,51,10.035350199
268,26.4962760725,-80.0691652392,51,0.678279082107
269,39.74545094,-75.548089438,53,14.6765595995
270,42.9697047388,-78.795540002,52,17.1701450001
271,40.265875398,-76.8913573633,57,14.8016975371
272,25.9075834878,-80.2586693531,73,0.0766230113995
273,36.8222567061,-76.2839853469,49,11.6757946023
274,27.3364347,-82.5306527,48,2.65063767419
275,22.387370375,114.118447371,42,17.2279820831
276,33.9314846458,-83.99447495,53,8.85977296803
277,42.2047261298,-71.1562619468,41,18.7335739901
278,42.2154256277,-88.2977141809,39,18.1886014886
279,41.8191174532,-72.5786432915,47,17.7324256024
280,38.9993156319,-76.7788690809,30,13.601733689
281,42.4925792936,-71.2585889404,89,18.9359234104
282,33.4900819717,-86.7994944783,47,10.0015341098
283,36.5997410717,-121.888095604,47,4.66893772237
284,41.3465962043,-73.4553095348,47,16.9344505515
