cent_latitude,cent_longitude,clust_size
40.717515595,-73.9893091328,14133
41.8781902128,-87.6298429998,3814
33.4472769695,-111.902611932,2341
38.8869858429,-77.0485665903,2744
33.4484736503,-112.074079455,2735
37.686006854,-122.408890507,1700
37.7864841235,-122.423815529,2224
33.7685600832,-84.3926919823,1854
42.3630181534,-71.074572009,1650
47.6064321793,-122.332078722,1472
34.0647506387,-118.267487204,940
33.3576387985,-111.822635055,1274
44.9777087444,-93.2680521352,1171
36.117361153,-115.171257613,1174
30.2673217231,-97.7428671005,1087
39.9518871287,-75.1634943326,1064
40.7688693225,-73.8381236332,750
32.9811214555,-117.078438369,993
34.0350337354,-118.433901879,671
39.7349464379,-104.989195229,821
28.5424416496,-81.3768333981,781
32.8034307155,-96.7695989648,785
34.1261459763,-118.353230276,531
25.7874678472,-80.215136596,703
43.0406802445,-87.9063670026,683
-6.21190821016,106.84406738,641
29.7621558605,-95.3832629621,626
37.395486331,-122.093633411,645
45.5230548168,-122.676017306,581
37.344713625,-121.908428589,628
32.7110442225,-117.153251778,542
33.6775484459,-117.853851075,597
33.8095446897,-117.891370181,522
43.6533794785,-79.3830975441,510
32.2217429,-110.926479,472
27.9493668986,-82.465016083,435
40.7563629337,-74.1932126488,295
33.9219580243,-118.413539376,395
39.99629727,-82.9994636028,393
39.768327279,-86.15806221,390
34.1603459951,-118.234368666,76
39.0983706548,-94.5869666937,361
47.6428056237,-122.169565455,400
40.439750535,-79.9967019414,351
39.2872209031,-76.6139701028,341
37.8044578797,-122.268352524,378
35.2273068307,-80.8431951377,329
40.8447466049,-74.1327318361,297
33.8112939268,-118.145453402,277
34.1891089085,-118.456560696,293
40.8614436274,-73.8789245858,332
29.4243695183,-98.4935743093,292
34.1264930104,-118.122380516,244
33.5590378206,-112.211604426,280
51.5027243943,-0.12809028172,285
35.7709958431,-78.6369312066,270
37.542420008,-122.298999579,274
40.7069765872,-73.6032636628,396
38.6449735095,-90.2266823337,276
26.1215124549,-80.1588952664,216
38.8772096301,-77.2441833414,265
44.9591676797,-93.1194302494,256
